S.No.,HSCode,Commodity,Unit,Jul  2021 (R),Jul  2022 (R),%Growth,Apr-Jul  2021 (R),Apr-Jul  2022 (R),%Growth
441.,35069999,OTHR PRPD GLUES AND OTHR ADHSVS NES,KGS  ,0.01,0.30,"2,207.69",0.46,0.51,10.72
442.,36050010,MATCHES SAFETY,KGS  ,34.25,33.85,-1.17,86.25,155.41,80.18
443.,37079010,CHMCL PRDCTS MXD/CMPNDED FR PHOT USES (FR EXMPL DVLPS AND FIXERS) W/N IN BULK,KGS  ,NaN,NaN,NaN,0.86,NaN,NaN
444.,38021000,ACTIVATED CARBON,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
445.,38089122,METHYL BROMIDE,KGS  ,NaN,NaN,NaN,NaN,7.01,NaN
446.,38089135,CIPERMETHRIN TECHNICAL,KGS  ,NaN,NaN,NaN,NaN,9.93,NaN
447.,38089191,"REPELANT FOR INSECTS SUCH AS FLIES,MOSQUTO",KGS  ,NaN,NaN,NaN,0.41,NaN,NaN
448.,38089199,OTHER INSECTICIDE NES,KGS  ,8.09,NaN,NaN,8.09,3.95,-51.16
449.,38089290,OTHERS FUNGICIDE NES,KGS  ,26.98,NaN,NaN,66.98,NaN,NaN
450.,38089400,DISINFECTANTS,KGS  ,0.01,NaN,NaN,0.01,NaN,NaN
451.,38089910,"PESTICIDES, NOT ELSEWHERE SPECIFIED OR INC",KGS  ,NaN,NaN,NaN,1.23,NaN,NaN
452.,38089990,OTHER SIMILAR PRODUCTS N.E.S.,KGS  ,7.56,NaN,NaN,7.56,NaN,NaN
453.,38099200,PRPNS OF A KIND USED IN THE PAPER INDUSTRY,KGS  ,NaN,NaN,NaN,0.02,NaN,NaN
454.,38101010,PICLING PREPARATI0N AND 0THER S0LDERING BRAZING 0R WELDING P0WDER/PASTES ETC,KGS  ,NaN,NaN,NaN,NaN,0.00,NaN
455.,38140020,PREPARED PAINT OR VARNISH REMOVERS,KGS  ,NaN,NaN,NaN,1.07,NaN,NaN
456.,38220019,*OTHER FOR MEDICAL DIAGNOSIS,KGS  ,NaN,NaN,NaN,0.46,NaN,NaN
457.,38220090,*OTHERS,KGS  ,NaN,NaN,NaN,0.15,NaN,NaN
458.,38229090,OTHER,KGS  ,NaN,0.06,NaN,NaN,0.06,NaN
459.,38249900,OTHER,KGS  ,NaN,NaN,NaN,3.50,NaN,NaN
460.,39011090,OTHR POLYETHYLENE HVNG A SPFC GRVTY < 0.94,KGS  ,NaN,NaN,NaN,NaN,2.00,NaN
461.,39021000,POLYPROPYLENE,KGS  ,NaN,99.00,NaN,NaN,99.00,NaN
462.,39046100,POLYTETRAFLUOROETHYLENE,KGS  ,NaN,NaN,NaN,NaN,0.08,NaN
463.,39059910,POLYVINYL PIROLIDONE(P ALCOHOL),KGS  ,NaN,0.30,NaN,NaN,0.38,NaN
464.,39059990,OTHERS POLYMERS OF VINYL ACETATE/OF OTHR VINYL ESTRS AND OTHR VINYL POLYMERS IN PRMRY FORMS EXCL POLY/VINYL ACETATE COP,KGS  ,NaN,NaN,NaN,NaN,0.20,NaN
465.,39072090,*OTHER POLYETHERS NES,KGS  ,NaN,NaN,NaN,4.00,NaN,NaN
466.,39072990,OTHER,KGS  ,NaN,2.99,NaN,NaN,2.99,NaN
467.,39076990,OTHER,KGS  ,NaN,NaN,NaN,88.00,NaN,NaN
468.,39123100,CARBOXYMETHYLCELLULOSE AND ITS SALTS,KGS  ,NaN,0.20,NaN,NaN,0.20,NaN
469.,39123929,OTHERS CELLULOSE ETHERS PLASTICIZED,KGS  ,NaN,NaN,NaN,0.10,NaN,NaN
470.,39139019,OTHER CHEMICAL DERIVATIVE OF NATURAL RUBBR,KGS  ,NaN,0.20,NaN,NaN,0.20,NaN
471.,39139090,OTHER NATRL AND MODFD NATRL POLYMERS NES,KGS  ,NaN,NaN,NaN,0.05,0.30,500.00
472.,39161010,RODS OF POLYETHYLENE,KGS  ,NaN,NaN,NaN,0.27,NaN,NaN
473.,39162099,OTHER OF OTHER POLMRS OF VINYL CHLRIDE,KGS  ,NaN,NaN,NaN,0.07,NaN,NaN
474.,39169032,POLYMETHYL METHACRYLATE,KGS  ,NaN,NaN,NaN,NaN,0.20,NaN
475.,39169090,OTHR PLYMRSN AND COPLYMRSN PRDCTS,KGS  ,0.30,NaN,NaN,0.47,NaN,NaN
476.,39172190,OTHERS,KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
477.,39172310,SEAMLESS TUBES OF POLYVINYL CHLORDE,KGS  ,NaN,NaN,NaN,0.23,NaN,NaN
478.,39172990,TUBE PIPEAND HOSES OF OTHR PLSTCS RIGID NES,KGS  ,1.40,NaN,NaN,1.40,NaN,NaN
479.,39173990,OTHR TUBES PIPES AND HOSES NES,KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
480.,39199010,"PLASTIC STICKERS, WHETHER OR NOT PRINTED, EMBOSSED, OR IMPREGNATED",KGS  ,NaN,0.01,NaN,0.00,0.01,200.00
481.,39199090,OTHER SELF-ADHSV PLTS ETC NES,KGS  ,NaN,NaN,NaN,0.15,NaN,NaN
482.,39202010,"PLTES SHTS ETC. OF POLYMRS OF PROPYLN RIGID, PLAIN",KGS  ,0.16,NaN,NaN,0.16,NaN,NaN
483.,39204900,OTHR PLTES SHTS OF POLYMR OF VINYL CHLORID,KGS  ,NaN,NaN,NaN,5.06,0.38,-92.41
484.,39206190,PLTES SHTS ETC OF PLYCRBNTS NES,KGS  ,NaN,NaN,NaN,2.47,NaN,NaN
485.,39206290,PLTES SHTS OF PLYETHYLN TEREPHTHALTE NES,KGS  ,0.10,NaN,NaN,0.21,NaN,NaN
486.,39206999,OTHER PLTES SHTS ETC OF OTHR POLYESTER NES,KGS  ,NaN,NaN,NaN,0.21,NaN,NaN
487.,39209941,"SHEET OF POLY(TETRAFLURO-ETHYLENE)(PTFE) RIGID, PLAIN",KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
488.,39219096,"OTHR PLTS,SHTS,FILM FOIL,STRIP ETC NES FLEXIBLE, LAMINATED",KGS  ,NaN,NaN,NaN,1.44,14.32,895.14
489.,39219099,"OTHR PLTS,SHTS,FILM FOIL,STRIP ETC NES OTHER",KGS  ,NaN,NaN,NaN,8.27,0.20,-97.56
490.,39231020,WATCHBOX JEWELLERY BOX AND SIMILAR CONTAINER OF PLASTICS,KGS  ,NaN,NaN,NaN,0.48,6.56,"1,265.83"
491.,39231030,BOXS CASES CRATES AND SMLR ARTCLS OF PLSTCS INSULATED WARE,KGS  ,12.30,NaN,NaN,12.30,NaN,NaN
492.,39231090,BOX CASE CRATE AND SMLR ARTCLS OF PLSTCS NES,KGS  ,2.00,0.15,-92.50,9.80,2.41,-75.46
493.,39232990,SACK AND BAG (INCL CONES)OF OTHR PLASTIC NES,KGS  ,NaN,NaN,NaN,2.98,NaN,NaN
494.,39233090,CRBYS BTTLS FLSKAND SMLR ARTCL OF PLSTCS NES,KGS  ,NaN,NaN,NaN,3.61,4.49,24.29
495.,39235010,CAPS AND CLOSURES FOR BOTTLES,KGS  ,NaN,17.64,NaN,0.55,17.64,"3,084.12"
496.,39235090,OTHR STOPRS LID CAPSANDOTHR CLSRES OF PLSTCS,KGS  ,NaN,NaN,NaN,2.68,NaN,NaN
497.,39239090,OTHR ARTCLS FOR CNVYNCE/PCKNG OF GOODS NES,KGS  ,11.59,1.00,-91.37,12.09,22.58,86.75
498.,39241010,TABLEWARE AND KITCHENWARE OF PLASTICS INSULATED WARE,KGS  ,NaN,NaN,NaN,5.30,NaN,NaN
499.,39249090,OTHR HOUSHOLD ANDTOILT ARTCLS OF PLSTCS NES,KGS  ,0.09,NaN,NaN,0.09,2.18,"2,322.22"
500.,39261019,OFFICE SUPPLIES EXCL PINS CLIPS WRITING INSTRUMENTS OF OTHER MAKE,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
501.,39264019,OTHER BANGLES,KGS  ,14.08,13.52,-3.99,151.08,31.03,-79.46
502.,39264029,OTHER BEADS,KGS  ,NaN,NaN,NaN,4.25,NaN,NaN
503.,39264049,OTHR TABLEANDOTHR HOUSHOLD ARTCL OF DECORATN,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
504.,39264099,OTHR STATUETE AND OTHR ORNAMENTAL ARTICL NES,KGS  ,0.06,NaN,NaN,0.06,NaN,NaN
505.,39269099,OTHR ARTICLE OF PLASTIC NES,KGS  ,12.73,NaN,NaN,22.69,23.72,4.57
506.,40029920,"TREAD RUBR COM,CUSHION COM,CUSHION GUM/ TREAD GUM FOR RESOL/REPAI/RETREA RUBR TYRE",KGS  ,NaN,NaN,NaN,2.51,2.00,-20.26
507.,40081110,"PLTS,SHTS STRP OF MICRO-CELLULAR RUBR",KGS  ,0.54,NaN,NaN,0.54,NaN,NaN
508.,40082120,"PLTS,SHTS,STRIPS OF NON-CELLULAR RUBR FOR RESOLING/REPAIRING/RETREADING RUBR TYRES",KGS  ,NaN,NaN,NaN,3.49,0.95,-72.67
509.,40082990,OTHER FORM OF NON/CELLULAR RUBR,KGS  ,0.18,NaN,NaN,0.19,NaN,NaN
510.,40091100,"TUBES,PIPES AND HOSES OF VULCNSD RUBR NOT REINFORCED/OTHRWSE COMBINED WTH OTHR MATERIALS WITHOUT FITTINGS",KGS  ,0.02,0.00,-85.00,0.03,0.10,221.88
511.,40092100,"TUBES,PIPES AND HOSES OF VULCNSD RUBR REINFORCED/OTHRWSE CMBND ONLY WTH METAL MATERIALS WITHOUT FITTINGS",KGS  ,NaN,NaN,NaN,0.08,NaN,NaN
512.,40092200,"TUBES,PIPES AND HOSES OF VULCNSD RUBR REINFORCED/OTHERWSE CMBND ONLY WITH METAL WITH FITTINGS",KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
513.,40094100,TUBES.PIPES AND HOSES OF VULCNSD RUBR REINFORCED/OTHRWSE COMBINED WTH OTHR MATERIALS WITHOUT FITTINGS,KGS  ,NaN,NaN,NaN,0.38,NaN,NaN
514.,40094200,"TUBES,PIPES,ANDHOSES OF VULCNSD RUBR REINFORCED OTHERWSE COMBINED WITH OTHER MATARIALS WITH FITTINGS",KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
515.,40101110,CNVYR BLT/BLTNG RENFRCD ONLY WITH METAL WHERE RUBR COMPA CONTENT LESS THAN 25% BY WEIGHT,KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
516.,40103999,TRNSMSN BLT/BLTNG OTHER THAN FLAT BLT/PLY BLT WHERE RUBY COMPD MORE THAN 25% BY WT.,KGS  ,NaN,NaN,NaN,NaN,0.05,NaN
517.,40111010,RADIALS TYRES USED ON MOTOR CARS (INCL STATION WAGONS AND RACING CARS),NOS  ,0.40,NaN,NaN,1.05,NaN,NaN
518.,40111090,OTHER TYRES USED ON MOTOR CARS (INCL STATION WAGONS AND RACING CARS).,NOS  ,NaN,NaN,NaN,NaN,1.15,NaN
519.,40112010,RADIALS TYRES USED ON BUSES/LORRIES,NOS  ,0.43,NaN,NaN,1.07,0.41,-61.69
520.,40112090,OTHER TYRES USED ON BUSES/LORRIES,NOS  ,7.45,3.17,-57.46,29.76,25.59,-14.02
521.,40115010,MULTICELLULR POLYURETHANE(MCP) TUBES TYRE USED ON BICYCLES,NOS  ,NaN,NaN,NaN,NaN,44.55,NaN
522.,40115090,OTHER,NOS  ,26.95,47.20,75.14,164.15,210.75,28.39
523.,40117000,OF A KIND USED ON AGRICULTURAL OR FORESTRY VEHICLES AND MACHINES,NOS  ,0.12,NaN,NaN,0.23,NaN,NaN
524.,40119000,OTHER,NOS  ,0.78,4.60,489.74,0.78,37.84,"4,751.67"
525.,40129049,TYRE FLAPS USED IN OTHER VEHICLES,KGS  ,13.73,7.22,-47.44,44.76,42.81,-4.35
526.,40131010,INNER TUBES FOR MOTOR CARS,NOS  ,NaN,26.91,NaN,NaN,58.52,NaN
527.,40131020,INNER TUBES FOR TRACK AND BUS,NOS  ,7.64,5.76,-24.63,30.10,27.35,-9.14
528.,40132000,INNER TUBES OF RUBBER USED ON BICYCLES,NOS  ,15.60,79.10,407.05,147.30,251.10,70.47
529.,40139020,INNER TUBES FOR MOTOR CYCLES,NOS  ,NaN,NaN,NaN,NaN,1.00,NaN
530.,40139049,INNER TUBES USED IN OTHER THAN REAR TYRES OF TRACTORS,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
531.,40139050,INNER TUBES USED IN TYRES OF CYCLE RICKSHA/THREE WHEELER POWERED RICKSHAWS,NOS  ,NaN,NaN,NaN,NaN,28.60,NaN
532.,40139090,INNER TUBES USED IN OTHER VEHICLES,NOS  ,3.71,5.28,42.32,3.71,17.91,382.80
533.,40141010,RUBBER CONTRACEPTIVES MALE(CONDOMS),KGS  ,0.47,10.27,"2,090.41",2.47,10.27,316.08
534.,40151200,"OF A KIND USED FOR MEDICAL, SURGICAL, DENTAL OR VETERINARY PURPOSES",PRS  ,NaN,NaN,NaN,NaN,650.00,NaN
535.,40151900,"OTHER GLOVES,MITTENS AND MITTS",PRS  ,NaN,8.40,NaN,NaN,8.40,NaN
536.,40159099,OTHERS ARTCL. OF APARL AND CLOTHING ACCESSORIES FOR ALL PUEPOSES EXCL.GLOVES/ APPRON AND DIVING SVITS ETC.,KGS  ,NaN,NaN,NaN,0.16,NaN,NaN
537.,40161000,OTHR ARTCLS OF CELLULAR RUBBER,KGS  ,NaN,NaN,NaN,0.08,0.02,-80.00
538.,40169310,PATCHES FR PUNCTURE REPAIR OF SELF-VULCNSNG RUBR/A RUBR LACKING,KGS  ,NaN,NaN,NaN,0.82,0.33,-60.10
539.,40169320,RUBBER RING(O-RING),KGS  ,NaN,NaN,NaN,0.02,NaN,NaN
540.,40169330,"RUBBER SEALS(OIL SEALS,ETC)",KGS  ,0.08,0.17,112.50,0.09,0.92,935.96
541.,40169340,GASKETS,KGS  ,0.63,NaN,NaN,0.63,0.00,-99.84
542.,40169390,OTHER ARTICLES OF GASKETS WASHERS AND OTHER SEAL,KGS  ,0.06,NaN,NaN,0.06,NaN,NaN
543.,40169990,OTHERS ARTICLES OF VULCANISED RUBBER EXCL. MATS/GASKETS AND OTHER INFLATABLE ARTICLES,KGS  ,0.02,NaN,NaN,4.34,3.16,-27.16
544.,40170010,PLTS SHEETS RODS AND TUBES ETC OF EBONITE AND VULCANITE,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
545.,42021190,OTHER CASE OF LEATHER,NOS  ,NaN,NaN,NaN,0.54,NaN,NaN
546.,42022190,OTHER LEATHER HAND BAGS.,NOS  ,0.30,NaN,NaN,0.30,NaN,NaN
547.,42022210,HND BGS/SHPPNG BGS OF ARTFCL PLSTC MTRL,NOS  ,NaN,NaN,NaN,NaN,0.04,NaN
548.,42022290,OTHERS,NOS  ,0.08,0.41,385.71,0.99,1.34,35.01
549.,42022910,HNBGS OF OTHR MTRLS EXCL WKRWRK/BSKT WRK,NOS  ,NaN,0.80,NaN,0.27,0.80,199.63
550.,42022990,OTHERS,NOS  ,NaN,NaN,NaN,NaN,0.05,NaN
551.,42023120,WALLETS AND PURSES OF LEATHER,NOS  ,NaN,NaN,NaN,0.20,NaN,NaN
552.,42023190,OTHERS,NOS  ,0.10,0.08,-20.00,0.10,0.08,-20.00
553.,42023990,OTHERS,NOS  ,NaN,NaN,NaN,14.49,NaN,NaN
554.,42029900,OTHR SIMILAR CONTAINERS OF HDNG 4202,NOS  ,4.90,NaN,NaN,16.06,0.48,-97.00
555.,42031010,JACKETS AND JERSEYS,KGS  ,NaN,NaN,NaN,0.08,NaN,NaN
556.,42034090,OTHER,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
557.,44029090,*OTHER,MTS  ,NaN,NaN,NaN,0.00,NaN,NaN
558.,44152000,"PALETS,PALETS(BOX,COLRS) AND OTHR LOAD BORDSOF WOOD",NOS  ,NaN,NaN,NaN,0.00,NaN,NaN
559.,44191900,OTHER,KGS  ,NaN,NaN,NaN,0.04,NaN,NaN
560.,48025590,OTHER PAPER,KGS  ,16.50,52.96,221.05,46.20,52.96,14.64
561.,48025610,LITHO AND OFFSET PAPER,KGS  ,NaN,NaN,NaN,149.76,NaN,NaN
562.,48025790,OTHER PAPER,KGS  ,118.84,40.47,-65.95,394.68,121.52,-69.21
563.,48043900,OTHR CRFT PAPR AND PAPRBORD WGHNG<=150G/M2,KGS  ,25.00,NaN,NaN,25.00,NaN,NaN
564.,48054000,FILTER PAPER AND PAPERBOARD,KGS  ,0.00,NaN,NaN,0.00,NaN,NaN
565.,48101920,ART PAPER,KGS  ,NaN,NaN,NaN,48.48,NaN,NaN
566.,48101990,OTHER,KGS  ,NaN,NaN,NaN,39.51,NaN,NaN
567.,48102900,OTHR PAPR AND PAPRBORD FR WRTNG ETC OF WHCH >=10% BY WT OF TOTL FBRS CNTNT CNSSTS OF FIBRS OBTND BY A MCHNCL PRCSS,KGS  ,NaN,19.83,NaN,NaN,19.83,NaN
568.,48109900,OTHR COATED PAPR AND PPRBRD (NOT MLTIPLY),KGS  ,NaN,26.30,NaN,NaN,26.30,NaN
569.,48115190,"OTHER BLEACHED PAPER, PAPERBOARD ETC. WEIGHING > 150GM/SQM",KGS  ,NaN,NaN,NaN,4.85,NaN,NaN
570.,48119091,OTHER GRAPE GDARD PAPER,KGS  ,2.72,0.35,-87.11,2.72,6.79,149.91
571.,48119094,"Thermal paper in jumbo rolls (of size 1 m and above in width and 5,000 m and above in length)",KGS  ,NaN,0.02,NaN,NaN,0.02,NaN
572.,48191010,BOXES OF CORRUGATED PAPER AND PAPER BOARD,KGS  ,4.18,0.13,-97.01,4.34,0.13,-97.12
573.,48191090,CARTNSANDCASES OF CORRUGATED PAPRANDPAPRBRD,KGS  ,0.60,NaN,NaN,0.60,NaN,NaN
574.,48192010,CARTNS/BOXES/CASES FOR PACKNG MATCH STICKSSTICKS,KGS  ,NaN,0.22,NaN,0.50,0.22,-56.80
575.,48192020,BOXES OF NON-CRRUGATED PAPER AND PAPERBOARD,KGS  ,0.08,NaN,NaN,0.08,NaN,NaN
576.,48192090,FLONG CARTNSANDCASES OF NON-CRRGTD PAPRANDBRD,KGS  ,NaN,NaN,NaN,0.12,NaN,NaN
577.,48195090,OTHR PACKNS CONTNRS MADE OF OTHR MATERIALS,KGS  ,NaN,NaN,NaN,NaN,0.08,NaN
578.,48196000,BOX FILES LETR TRAYS STORGE BOXS AND SIMLR ARTCLS USD IN OFFCS SHOPS OR THE LIKE,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
579.,48201010,REGISTERS ACCOUNT BOOKS,KGS  ,NaN,0.01,NaN,NaN,0.01,NaN
580.,48201020,LETTER PADS,KGS  ,0.11,NaN,NaN,0.15,NaN,NaN
581.,48201090,OTHERS,KGS  ,126.31,0.14,-99.89,540.56,213.14,-60.57
582.,48202000,EXERCESE BOOKS,KGS  ,26.07,35.31,35.42,121.47,60.38,-50.29
583.,48204000,"MANIFOLD BUSINES FORMS,INTRLVD CRBN SETS",KGS  ,NaN,NaN,NaN,0.37,NaN,NaN
584.,48209090,OTHERS,KGS  ,NaN,NaN,NaN,0.02,NaN,NaN
585.,48211010,PAPER TAG,KGS  ,NaN,NaN,NaN,3.35,NaN,NaN
586.,48211020,LABELS,KGS  ,0.25,NaN,NaN,0.25,NaN,NaN
587.,48232000,FILTER PAPER AND PAPERBOARD,KGS  ,NaN,NaN,NaN,0.01,0.24,"3,357.14"
588.,48239011,BRAILLE PAPER,KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
589.,48239013,PACKING AND WRAPPING PAPER,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
590.,48239030,PLAIN OR EMBOSSED SEALS MADE OF PAPER LAMINATED PAPR OR PAPR GASKETS.,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
591.,48239090,OTHERS,KGS  ,1.96,NaN,NaN,5.96,NaN,NaN
592.,49011020,PAMPHLETS BOOKLETS BROCHURES LEAFLETS,NOS  ,NaN,0.60,NaN,NaN,0.71,NaN
593.,49019900,OTHR PRINTD BOOKS ETC OF HD NO. 4901,NOS  ,NaN,NaN,NaN,"6,252.55",2.03,-99.97
594.,49100010,ADVERTISING CALNDAR,NOS  ,NaN,NaN,NaN,0.15,NaN,NaN
595.,49111010,"POSTERS, PRINTED",KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
596.,49111020,TRDE ADVRTSG MATERLS COMRCL CATALGE AND LIKE,KGS  ,NaN,NaN,NaN,NaN,0.00,NaN
597.,49111090,OTHR ADVRTSG MATTER PRINTED,KGS  ,NaN,0.00,NaN,0.13,0.05,-60.45
598.,49119990,OTHERS,KGS  ,2.76,NaN,NaN,2.76,17.25,525.00
599.,50071000,WOVEN FABRICS OF NOIL SILK,SQM  ,1.11,NaN,NaN,1.11,NaN,NaN
600.,50079090,OTHER FABRICS,SQM  ,79.80,NaN,NaN,79.80,NaN,NaN
601.,51121190,OTHRS WOVN FBRCS CONTNG>85% BY WT OF WOOL/FINE ANML HAIR OF A WT NT EXCDING 200 G/M2,SQM  ,NaN,136.68,NaN,NaN,136.68,NaN
602.,52081190,OTHERS,SQM  ,NaN,NaN,NaN,0.03,NaN,NaN
603.,52081290,OTHERS,SQM  ,NaN,NaN,NaN,NaN,0.96,NaN
604.,52083190,OTHERS,SQM  ,21.10,NaN,NaN,21.59,NaN,NaN
605.,52084129,OTHER SAREES,SQM  ,NaN,4.39,NaN,NaN,4.39,NaN
606.,52085990,SHIRTING FABRICS,SQM  ,8.72,NaN,NaN,8.72,NaN,NaN
607.,52091210,SAREE,SQM  ,NaN,NaN,NaN,NaN,0.70,NaN
608.,52091290,OTHERS,SQM  ,1.53,NaN,NaN,1.53,NaN,NaN
609.,52122300,OTHR DYED WOVN FBRCS WGHNG >200 G/M2,SQM  ,3.38,NaN,NaN,3.38,NaN,NaN
610.,53012900,"OTHER FLAX (EXCL BRKN/SCUTCHED,NOT SPUN",KGS  ,1.97,NaN,NaN,1.97,NaN,NaN
611.,54022090,OTHER POLYESTER (EXCL TERYLENE DACRON),KGS  ,NaN,NaN,NaN,NaN,1.10,NaN
612.,54023100,TEXTURD YARN OF NYLON OR OTHER POLYAMIDES MEASURNG PER SINGL YRN NT MORE THN 50 TEX,KGS  ,12.24,NaN,NaN,79.49,NaN,NaN
613.,54023300,TEXTURED YARN OF POLYESTERS,KGS  ,44.88,NaN,NaN,63.15,58.68,-7.07
614.,54024500,"OTHR YARN OF NYLON/OTHR POLYMDS,UNTWSTD ORWTH A TWIST <=50 TURNS PER MTR SINGLE",KGS  ,NaN,NaN,NaN,12.24,NaN,NaN
615.,54024700,"YARN OF OTHER POLYSTER , SINGLE UNTWSTD/A TWIST<=50 TURNS PER MTR",KGS  ,NaN,NaN,NaN,3.15,NaN,NaN
616.,54025200,"*OTHR YARN OF POLYESTERS,SINGLE,WITH A TWIST EXCEEDING 50 TURNS/PER METRE",KGS  ,NaN,6.71,NaN,7.22,8.96,24.14
617.,54026990,OTHERS(EXCLUDING THREAD),KGS  ,4.31,NaN,NaN,7.30,5.51,-24.56
618.,54031090,"OTHR VISCOS RAYN FILAMNT YARN,OTHR DENIERS",KGS  ,NaN,NaN,NaN,13.50,NaN,NaN
619.,54033100,"OTHR YARN OF VISCOSE RAYON,SNGL,UNTWSTD/ WITH A TWIST NT EXCDNG 120 TURNS PER METRE",KGS  ,NaN,7.29,NaN,40.99,11.36,-72.28
620.,54071015,UNBLECHD OTHR NYLON/POLYAMIDE FBRCS (FILAMENT ),SQM  ,NaN,NaN,NaN,NaN,36.04,NaN
621.,54071016,UNBLECHD POLYESTER SUITINGS,SQM  ,NaN,NaN,NaN,NaN,331.06,NaN
622.,54071019,UNBLECHD OTHR POLYESTER FABRICS,SQM  ,407.87,584.31,43.26,"1,056.33","3,104.35",193.88
623.,54071025,BLECHD OTHR NYLON/POLYAMIDE FBRCS ( FILAMENT ),SQM  ,NaN,NaN,NaN,NaN,0.90,NaN
624.,54071026,BLECHD POLYESTER SUITNGS,SQM  ,NaN,NaN,NaN,2.66,NaN,NaN
625.,54071029,BLECHD OTHR POLYESTER FABRCS,SQM  ,NaN,NaN,NaN,4.77,NaN,NaN
626.,54071039,OTHR DYED POLYESTER FABRCS,SQM  ,NaN,227.17,NaN,467.60,579.91,24.02
627.,54071049,PRINTED OTHR POLYESTER FBRCS,SQM  ,NaN,50.16,NaN,233.87,301.87,29.07
628.,54071099,OTHR POLYESTER FBRCS NES,SQM  ,67.57,NaN,NaN,768.45,1.65,-99.79
629.,54072030,DYED WVEN FBRCS FROM STRIP/THE LIKE,SQM  ,353.83,NaN,NaN,"5,462.33",NaN,NaN
630.,54072040,PRINTED WVEN FBRCS FROM STRIP/THE LIKE,SQM  ,187.60,NaN,NaN,549.51,NaN,NaN
631.,54072090,OTHR WVEN FBRCS FROM STRIP/THE LIKE,SQM  ,646.95,NaN,NaN,"6,811.07",NaN,NaN
632.,54074290,OTHERS,SQM  ,15.33,NaN,NaN,32.89,NaN,NaN
633.,54075119,UNBLECHD OTHR THAN POLYESTER SHIRTG,SQM  ,NaN,567.85,NaN,NaN,"4,256.94",NaN
634.,54075129,BLECHD OTHR THAN POLYESTER SHIRTG,SQM  ,NaN,NaN,NaN,NaN,472.52,NaN
635.,54075220,POLYESTER SIUTINGS,SQM  ,NaN,120.05,NaN,349.47,954.72,173.20
636.,54075240,POLYESTER SAREES,SQM  ,NaN,0.34,NaN,NaN,3.26,NaN
637.,54075290,OTHERS,SQM  ,26.63,NaN,NaN,62.27,337.61,442.15
638.,54075430,POLYESTER SAREES,SQM  ,1.00,NaN,NaN,7.69,NaN,NaN
639.,54075490,OTHERS,SQM  ,0.81,NaN,NaN,0.81,"1,392.45","172,660.30"
640.,54076120,POLYESTER SUITINGS,SQM  ,63.34,NaN,NaN,590.77,NaN,NaN
641.,54076190,OTHERS,SQM  ,NaN,NaN,NaN,498.32,NaN,NaN
642.,54077110,UNBLECHD WVN FBRC CNTNS OTHR SYN FILAMNT >=85%,SQM  ,641.37,NaN,NaN,"1,916.87",18.00,-99.06
643.,54077200,"WOVEN FABRICS,CNTNG 85% OR MORE BY WT OF OTHR SYNTHETIC FILAMENTS, DYED",SQM  ,91.02,1.17,-98.71,211.99,1.17,-99.45
644.,54077300,OTHR WOVN FABRCS OF YRNS OF DIFRNT COLORS CNTNG 85% OR MORE BY WT OF SYNTHTC FILMNTS,SQM  ,NaN,NaN,NaN,97.29,NaN,NaN
645.,54078470,POLYESTER SAREES,SQM  ,6.68,NaN,NaN,25.95,NaN,NaN
646.,54079200,"OTHER SYNTHTIC WOVEN FABRICS,DYED",SQM  ,138.93,NaN,NaN,876.33,NaN,NaN
647.,54079400,"OTHER WOVEN SYNTHETIC FABRICS,PRINTED",SQM  ,NaN,NaN,NaN,0.05,NaN,NaN
648.,54082219,"OTHR FBRCS OF RAYON ,DYED",SQM  ,NaN,14.53,NaN,NaN,14.53,NaN
649.,54082220,"DYED FBRCS OF CONTINUS FILMNT ,OTHR THAN RAYON",SQM  ,NaN,0.48,NaN,NaN,0.48,NaN
650.,54082290,OTHR DYED FBRCS,SQM  ,17.91,5.50,-69.29,17.91,43.94,145.34
651.,54082411,"RAYON CREPE FBRCS, PRINTD",SQM  ,NaN,NaN,NaN,0.14,NaN,NaN
652.,54082418,"RAYON SAREE, PRINTD",SQM  ,NaN,NaN,NaN,1.45,NaN,NaN
653.,54082419,"OTHR FBRCS OF RAYON , PRINTD",SQM  ,NaN,NaN,NaN,9.29,NaN,NaN
654.,54083418,RAYON SAREE,SQM  ,NaN,1.81,NaN,NaN,1.81,NaN
655.,55093200,MULTIPLE(FOLDED)/CABLED YRN CNTNG>=85% OF ACRYLIC/MODACRYLIC STAPLE FIBRES,KGS  ,0.20,NaN,NaN,0.20,NaN,NaN
